timestamp,text
2021-08-29 15:37:54,b'768 new cases and 2 new deaths in Albania \n\n[17:37 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 15:32:28,b'740 new cases and 2 new deaths in Canada \n\n[17:32 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 15:27:01,"b'1,581 new cases and 37 new deaths in Greece \n\n[17:27 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 15:21:35,b'239 new cases in the Dominican Republic \n\n[17:21 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 15:18:09,b'Why Florida\xe2\x80\x99s Covid Surge Is Screwing With the Water Supply (Hint: Oxygen). (Wired) #CoronaVirus #COVID\xe3\x83\xbc19 #COVID19\xe2\x80\xa6 https://t.co/qczXTggYkY'
2021-08-29 15:15:00,b'Pakistan records new Covid 19 cases\n\n#Pakistan #pakistantimestoday #covid #COVID19 #coronavirus\xe2\x80\xa6 https://t.co/A2yow7tkQ4'
2021-08-29 15:05:46,"b'5,959 new cases and 37 new deaths in Italy \n\n[17:05 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 15:00:20,"b'3,166 new cases and 106 new deaths in Myanmar \n\n[17:00 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 14:53:43,"b'6,277 new cases and 77 new deaths in Cuba \n\n[16:53 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 14:48:17,"b'38,546 new cases and 382 new deaths in India \n\n[16:48 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 14:42:50,"b'4,612 new cases and 192 new deaths in Sri Lanka \n\n[16:42 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 14:41:26,b'NCOC expand Covid19 restrictions to more cities\n\n#Pakistan #covid #COVID19 #coronavirus #CoronavirusPandemic\xe2\x80\xa6 https://t.co/8Ga4OQJFV9'
2021-08-29 14:24:47,"b'1,458 new cases and 3 new deaths in Germany \n\n[16:24 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 14:19:20,"b'6,001 new cases and 274 new deaths in India \n\n[16:19 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 14:13:54,b'478 new cases in Norway \n\n[16:13 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 14:12:37,"b'.#CoronaVirusUpdate #CoronavirusPandemic 31 new #coronavirus cases, REDUCTION of 1 active case, 32 recoveries, ZERO\xe2\x80\xa6 https://t.co/yi9WDv1ZeR'"
2021-08-29 14:08:28,b'556 new cases and 4 new deaths in Montenegro \n\n[16:08 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 14:03:02,b'33 new cases and 11 new deaths in Yemen \n\n[16:03 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 13:57:36,b'179 new cases in Qatar \n\n[15:57 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 13:52:09,"b'1,782 new cases and 10 new deaths in Portugal \n\n[15:52 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 13:50:33,b'Mumbai: More than Rs 65 crore collected as fines from people not wearing masks at public places \n\nRead here:\xe2\x80\xa6 https://t.co/5Sd4zGh7Na'
2021-08-29 13:46:43,"b'2,289 new cases and 2 new deaths in the Netherlands \n\n[15:46 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 13:41:17,b'619 new cases in Finland \n\n[15:41 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 13:35:51,b'98 new cases and 2 new deaths in Namibia \n\n[15:35 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 13:30:25,b'4 new cases in Gibraltar \n\n[15:30 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 13:24:58,"b'4,010 new cases and 41 new deaths in Azerbaijan \n\n[15:24 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 13:19:32,"b'12,796 new cases and 344 new deaths in Vietnam \n\n[15:19 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 13:16:17,b'Difficult to end #COVID19 emergency as planned: #Japan health minister\n\nhttps://t.co/6jvjDKIp26\n\n#CoronavirusPandemic'
2021-08-29 13:14:05,b'208 new cases and 6 new deaths in Saudi Arabia \n\n[15:14 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 13:08:16,"b'6,083 new cases and 67 new deaths in Iraq \n\n[15:08 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 13:02:50,"b'1,722 new cases and 9 new deaths in Serbia \n\n[15:02 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 12:15:42,b'UPDATE: Contaminants found in more #Moderna #COVID19 #vaccine in Japan\n\nhttps://t.co/t0wfdAHrZs\n\n#CoronavirusPandemic  #modernavaccine'
2021-08-29 12:15:05,"b'1,405 new cases and 12 new deaths in Belarus \n\n[14:15 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 12:09:39,"b'12,645 new cases and 344 new deaths in Vietnam \n\n[14:09 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 12:04:12,b'158 new cases and 5 new deaths in Zambia \n\n[14:04 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 11:58:46,b'42 new cases in Tajikistan \n\n[13:58 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 11:56:16,"b'Even if the border is open and everyone is allowed to travel, my personal humble opinion is to hold back until the\xe2\x80\xa6 https://t.co/54z0F7Lc88'"
2021-08-29 11:53:20,"b'2,265 new cases and 187 new deaths in Tunisia \n\n[13:53 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 11:47:54,b'153 new cases in Equatorial Guinea \n\n[13:47 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 11:42:27,b'93 new cases and 3 new deaths in Gambia \n\n[13:42 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 11:41:29,b'Kerala accounts for nearly 70% of the new coronavirus cases in the country \n\n#Video #India #Kerala\xe2\x80\xa6 https://t.co/aXRrDmzb9W'
2021-08-29 11:37:01,"b'31,516 new cases and 581 new deaths in Iran \n\n[13:37 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 11:31:35,b'188 new cases and 6 new deaths in Uganda \n\n[13:31 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 11:26:35,b'89 people died from #COVID19 in 24 hours till 8 am today.\n#CoronavirusUpdates #CoronavirusPandemic \nhttps://t.co/4endxozalz'
2021-08-29 11:26:05,"b'#Reopeningofschools : Wait for 2-3 months till children get vaccinated against #Covid19 , says #DrTrehan\xe2\x80\xa6 https://t.co/G5uBi5A4Dg'"
2021-08-29 11:22:50,b'91 new cases and 7 new deaths in Senegal \n\n[13:22 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 11:03:05,b'91 new cases and 7 new deaths in Senegal \n\n[13:03 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 11:01:01,b'Ban on International Flights To And From India Extended Till September 30\n#InternationalFlights #Flight #COVID19\xe2\x80\xa6 https://t.co/jNt6vYrlgS'
2021-08-29 10:57:39,"b'20,579 new cases and 285 new deaths in Malaysia \n\n[12:57 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 10:52:12,b'166 new cases and 3 new deaths in Timor-Leste \n\n[12:52 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 10:46:46,b'868 new cases and 19 new deaths in Romania \n\n[12:46 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 10:41:20,b'50 new cases in Malta \n\n[12:41 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 10:35:53,b'273 new cases in Slovenia \n\n[12:35 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 10:30:27,b'133 new cases in Singapore \n\n[12:30 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 10:25:01,b'377 new cases and 1 new death in Croatia \n\n[12:25 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 10:19:35,b'987 new cases and 2 new deaths in the United Arab Emirates \n\n[12:19 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 10:14:09,"b'7,427 new cases and 551 new deaths in Indonesia \n\n[12:14 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 10:08:42,"b'2,003 new cases and 19 new deaths in Libya \n\n[12:08 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 10:03:16,"b'7 new cases in China, Hong Kong SAR \n\n[12:03 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 09:57:50,b'103 new cases and 1 new death in Oman \n\n[11:57 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 09:47:50,b'196 new cases in Latvia \n\n[11:47 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 09:36:35,b'196 new cases in Latvia \n\n[11:36 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 09:26:56,"b'#ICU at #hospitals across the #US are reaching their capacity, and more #vaccine and #mask mandates as the country\xe2\x80\xa6 https://t.co/uTmq60FsPu'"
2021-08-29 09:20:02,"b'19,286 new cases and 797 new deaths in Russia \n\n[11:20 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 09:14:36,b'204 new cases in Poland \n\n[11:14 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 09:09:09,b'85 new cases in Slovakia \n\n[11:09 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 09:03:43,"b'22,748 new cases and 45 new deaths in Japan \n\n[11:03 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 08:58:16,b'52 new cases and 8 new deaths in Israel \n\n[10:58 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 08:52:50,b'111 new cases and 7 new deaths in Afghanistan \n\n[10:52 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 08:36:35,b'195 new cases in Laos \n\n[10:36 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 08:31:33,b'Mann Ki Baat Highlights: PM Modi Stresses On Swachh Bharat Mission In Times Of COVID-19\n\n@PMOIndia @narendramodi\xe2\x80\xa6 https://t.co/63d0zctR46'
2021-08-29 08:30:01,b'These are the Freeze containers to be full of #COVID dead bodies.\n\n#Vietnam #Vie #Covid19 #COVID19Vic #virus\xe2\x80\xa6 https://t.co/3Oe13f3bCq'
2021-08-29 08:30:01,b'25 new cases and 1 new death in Sint Maarten \n\n[10:30 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 08:19:08,"b'18,528 new cases and 101 new deaths in the Philippines \n\n[10:19 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 08:13:42,b'330 new cases and 2 new deaths in Estonia \n\n[10:13 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 08:08:16,b'82 new cases in Brunei Darussalam \n\n[10:08 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 08:02:50,b'29 new cases in Saint Kitts and Nevis \n\n[10:02 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 07:55:20,b'7 new cases in Anguilla \n\n[9:55 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 07:45:20,b'383 new cases and 11 new deaths in Armenia \n\n[9:45 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 07:07:50,b'396 new cases and 7 new deaths in Lithuania \n\n[9:07 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 07:03:30,"b'India reports 460 COVID-19 deaths, 45,083 fresh cases of infection in last 24 hours  https://t.co/kDMMYDVsyD #India\xe2\x80\xa6 https://t.co/9u8cRWABrk'"
2021-08-29 06:53:16,"b'2,669 new cases and 76 new deaths in Georgia \n\n[8:53 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 06:47:50,b'132 new cases and 1 new death in Czechia \n\n[8:47 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 06:40:20,b'8 new deaths in El Salvador \n\n[8:40 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 06:31:35,b'23 new cases and 1 new death in Taiwan \n\n[8:31 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 05:59:05,b'438 new cases and 11 new deaths in Cambodia \n\n[7:59 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 05:45:20,"b'Brazil has registered 684 daily deaths from Covid-19 and nearly 25,000 new cases. \n\nWatch Indus News Live:\xe2\x80\xa6 https://t.co/Hc2QdfY4hT'"
2021-08-29 05:41:39,"b'1,906 new cases and 34 new deaths in Ukraine \n\n[7:41 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
